raw_name,cleaned_name,type,variant,is_verified
Bean-to-bar 70% Dark Chocolate Ice Cream (Perfect Plenty (300ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Monkey Business Ice Cream (Perfect Plenty (300ml)),Monkey Business Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Monkey Business Ice Cream (Regular Tub (300ml)),Monkey Business Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Boston Cream Pie Dessert(2pcs),Boston Cream Pie,Dessert,2_PIECES,True
Eggless Chocolate Ice Cream (Regular Tub (300ml)),Eggless Just Chocolate,Ice Cream,REGULAR_TUB_300ML,True
Classic Chocolate Lamington (2pcs),Classic Chocolate Lamington,Dessert,2_PIECES,True
Eggless Banoffee Ice Cream (Perfect Plenty (300ml)),Eggless Banoffee Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Bean-to-bar Dark Chocolate Ice Cream (Regular Tub (300ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Classic Tiramisu,Classic Tiramisu,Dessert,1_PIECE,True
Eggless Coffee Mascarpone Ice Cream (Regular Tub (300ml)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Design Your Indulgence Duo Ice Creams (200ml+200ml),Design Your Indulgence Duo,Combo,DUO_200ML_200ML,True
Eggless Strawberry Cream Cheese Ice Cream 200ml,Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,MINI_TUB_200ML,True
Bean-to-bar 70% Dark Chocolate Ice Cream 200ml,Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML,True
Bean-to-bar Chocolate Dark Ice Cream (Mini tub (200ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML,True
Coffee Mascarpone Ice Cream (Regular Scoop),Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Cup,Cup,Extra,1_PIECE,True
Eggless Paan & Gulkand Ice Cream (Regular Scoop),Eggless Paan & Gulkand Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Coffee Mascarpone Ice Cream (Family Tub (725ml)),Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Pistachio Ice Cream (Regular Tub (300ml)),Pistachio Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Fig Orange Ice Cream (Perfect Plenty),Eggless Fig & Orange Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Bean-to-bar Chocolate 70% Dark Ice Cream (Perfect Plenty),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Eggless Banoffee Ice Cream (Regular Tub (300ml)),Eggless Banoffee Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Coffee Mascarpone Ice Cream (Regular Tub (300ml)),Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Sunshine Limone Ice Cream (Regular Tub (300ml)),Sunshine Limone Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Old Fashion Vanilla Ice Cream (Regular Tub (300ml)),Old Fashion Vanilla Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Eggless Chocolate Overload (Regular Scoop),Eggless Chocolate Overload Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Cherry & Chocolate Ice Cream (Regular Scoop),Eggless Cherry & Chocolate Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Coffee Mascarpone Ice Cream (Regular Scoop),Eggless Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Chocolate Overload (Perfect Plenty (300ml)),Eggless Chocolate Overload Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Eggless Chocolate Ice Cream (Family Tub (725ml)),Eggless Just Chocolate,Ice Cream,FAMILY_TUB_725ML,True
Eggless Banoffee Ice Cream (Family Tub (725ml)),Eggless Banoffee Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Design Your Indulgence Duo Ice Creams (200ml+200ml),Eggless Design Your Indulgence Duo,Combo,DUO_200ML_200ML,True
Eggless Paan & Gulkand Ice Cream 200ml,Eggless Paan & Gulkand Ice Cream,Ice Cream,MINI_TUB_200ML,True
Design Family Pack Of 3 Ice Creams (200+200+200 Ml),Design Family Pack Of 3 Ice Creams,Combo,FAMILY_PACK_3X200ML,True
Coffee Mascarpone Ice Cream 200ml,Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Banoffee Ice Cream 200ml,Eggless Banoffee Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Chocolate Overload (Family Feast (725ml)),Eggless Chocolate Overload Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Pistachio Ice Cream 200ml,Pistachio Ice Cream,Ice Cream,MINI_TUB_200ML,True
Classic Chocolate Lamington (1pcs),Classic Chocolate Lamington,Dessert,1_PIECE,True
Eggless Paan & Gulkand Ice Cream (Regular Tub (300ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Eggless Strawberry Cream Cheese Ice Cream (Regular Tub (300ml)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Waffle Cone,Butter Waffle Cone,Extra,1_PIECE,True
Eggless Banoffee Ice Cream (Regular Scoop),Eggless Banoffee Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Triple Chocolate Ice Cream (Family Feast (725ml)),Triple Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Cakes & Cookies Ice Cream (Regular Tub (300ml)),Cakes & Cookies Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Fig & Orange Ice Cream 200ml,Eggless Fig & Orange Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Strawberry Cream Cheese Ice Cream (Family Tub (725ml)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Monkey Business Ice Cream 200ml,Monkey Business Ice Cream,Ice Cream,MINI_TUB_200ML,True
Cakes & Cookies Ice Cream 200ml,Cakes & Cookies Ice Cream,Ice Cream,MINI_TUB_200ML,True
Fig & Orange 200ml,Eggless Fig & Orange Ice Cream,Ice Cream,MINI_TUB_200ML,True
Old Fashion Vanilla Ice Cream (Regular Scoop),Old Fashion Vanilla Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Sunshine Limone Ice Cream (Regular Scoop),Sunshine Limone Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Old Fashion Vanilla Ice Cream 200ml,Old Fashion Vanilla Ice Cream,Ice Cream,MINI_TUB_200ML,True
Fig &amp; Orange 200ml,Eggless Fig & Orange Ice Cream,Ice Cream,MINI_TUB_200ML,True
Mocha Indulgence Duo Ice Creams (200ml + 200ml),Mocha Indulgence Duo Ice Creams,Combo,DUO_200ML_200ML,True
Triple Chocolate Ice Cream 200ml,Triple Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Strawberry Cream Cheese Ice Cream (Regular Scoop),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Monkey Business Ice Cream (Family Feast (725ml)),Monkey Business Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Old Fashion Vanilla Ice Cream (Perfect Plenty (300ml)),Old Fashion Vanilla Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Eggless Cherry & Chocolate Ice Cream (Family Tub (725ml)),Eggless Cherry & Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Sunshine Limone Ice Cream (Family Tub (725ml)),Sunshine Limone Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Cherry & Chocolate Ice Cream (Mini tub (200ml)),Eggless Cherry & Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Coffee Mascarpone Ice Cream (Mini tub (200ml)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_200ML,True
Old Fashion Vanilla Ice Cream (Mini tub (200ml)),Old Fashion Vanilla Ice Cream,Ice Cream,MINI_TUB_200ML,True
Pistachio Ice Cream (Mini tub (200ml)),Pistachio Ice Cream,Ice Cream,MINI_TUB_200ML,True
Fig Orange Ice Cream (Regular Tub (300ml)),Eggless Fig & Orange Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Design Your Indulgence Duo,Design Your Indulgence Duo,Combo,DUO_200ML_200ML,True
Eggless Paan & Gulkand Ice Cream (Family Tub (725ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Cakes & Cookies Ice Cream (Perfect Plenty (300ml)),Cakes & Cookies Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Half In Half Regular Scoop Combo,Half In Half Regular Scoop Combo,Combo,REGULAR_SCOOP_120GMS,True
Eggless Coffee Mascarpone Ice Cream Small Scoop,Eggless Coffee Mascarpone Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Just Chocolate Small Scoop,Eggless Just Chocolate,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Chocolate Overload Ice Cream Small Scoop,Eggless Chocolate Overload Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Cakes &amp; Cookies Ice Cream Small Scoop,Cakes & Cookies Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Cherry & Chocolate 200ml,Eggless Cherry & Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML,True
Rose Cardamom Ice Cream (Mini tub (200ml)),Rose Cardamom Ice Cream,Ice Cream,MINI_TUB_200ML,True
Cakes & Cookies Ice Cream (Mini tub (200ml)),Cakes & Cookies Ice Cream,Ice Cream,MINI_TUB_200ML,True
Monkey Business Ice Cream (Mini tub (200ml)),Monkey Business Ice Cream,Ice Cream,MINI_TUB_200ML,True
Bean-to-bar Chocolate Dark Ice Cream (Regular Scoop),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Boston Cream Pie(1pcs),Boston Cream Pie,Dessert,1_PIECE,True
Eggless Cherry & Chocolate Ice Cream (Regular Tub (300ml)),Eggless Cherry & Chocolate Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Eggless Chocolate Overload (Regular Tub (300ml)),Eggless Chocolate Overload Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Pistachio Ice Cream (Regular Scoop),Pistachio Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Chocolate Ice Cream (Regular Scoop),Eggless Just Chocolate,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Strawberry Cream Cheese Ice Cream (Mini tub (200ml)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,MINI_TUB_200ML,True
Cakes & Cookies 200ml,Cakes & Cookies Ice Cream,Ice Cream,MINI_TUB_200ML,True
Go Bananas Ice Cream (Perfect Plenty),Go Bananas Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Eggless Coconut & Pineapple Ice Cream (Regular Scoop),Eggless Coconut & Pineapple Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Banoffee Ice Cream (Mini tub (200ml)),Eggless Banoffee Ice Cream,Ice Cream,MINI_TUB_200ML,True
Fig Orange Ice Cream (Mini tub (200ml)),Eggless Fig & Orange Ice Cream,Ice Cream,MINI_TUB_200ML,True
Sunshine Limone Ice Cream (Mini tub (200ml)),Sunshine Limone Ice Cream,Ice Cream,MINI_TUB_200ML,True
Strawberry Cream Cheese Ice Cream (Mini tub (200ml)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Chocolate Overload (Mini tub (200ml)),Eggless Chocolate Overload Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Paan & Gulkand Ice Cream (Perfect Plenty (300ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Eggless Chocolate Overload 200ml,Eggless Chocolate Overload Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Paan & Gulkand Ice Cream (Family Feast),Eggless Paan & Gulkand Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Coffee Mascarpone Ice Cream 200ml,Eggless Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_200ML,True
Fig Orange Ice Cream (Perfect Plenty (300ml)),Eggless Fig & Orange Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Affogato,Affogato,Dessert,1_PIECE,True
Eggless Paan &amp; Gulkand Ice Cream Small Scoop,Eggless Paan & Gulkand Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Pistachio Ice Cream Ice Cream Small Scoop,Pistachio Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Cherry &amp; Chocolate Ice Cream Small Scoop,Eggless Cherry & Chocolate Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Bean To Bar Dark Chocolate Ice Cream Small Scoop,Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Rose Cardamom Ice Cream (Regular Tub (300ml)),Rose Cardamom Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Coffee Mascarpone Ice Cream (Perfect Plenty (300ml)),Coffee Mascarpone Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Eggless Strawberry Cream Cheese Ice Cream (Perfect Plenty (300ml)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Eggless Paan & Gulkand Ice Cream (Mini tub (200ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,MINI_TUB_200ML,True
Cakes & Cookies Ice Cream (Regular Scoop),Cakes & Cookies Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Monkey Business Ice Cream (Regular Scoop),Monkey Business Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Chocolate Ice Cream 200ml,Eggless Just Chocolate,Ice Cream,MINI_TUB_200ML,True
Eggless Strawberry Cream Cheese Ice Cream (Perfect Plenty),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Monkey Business Ice Cream (Family Tub (725ml)),Monkey Business Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Bean-to-bar Dark Chocolate Ice Cream (Family Tub (725ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Rose Cardamom Ice Cream Small Scoop,Rose Cardamom Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Cherry & Chocolate Ice Cream (Family Feast (725ml)),Eggless Cherry & Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Paan & Gulkand Ice Cream (Family Feast (725ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Coffee Mascarpone Ice Cream (Family Feast (725ml)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Masala Chai Ice Cream 200ml,Masala Chai Ice Cream,Ice Cream,MINI_TUB_200ML,True
Tres Leches,Tres Leches,Dessert,1_PIECE,True
Sunshine Limone Ice Cream 200ml,Sunshine Limone Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Strawberry Cream Cheese Ice Cream (Family Feast),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Coffee Mascarpone Ice Cream (Family Feast),Eggless Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Masala Chai Ice Cream (Regular Tub (300ml)),Masala Chai Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Pistachio Ice Cream (Family Tub (725ml)),Pistachio Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Paan &amp; Gulkand Ice Cream (Perfect Plenty (300ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Eggless Chocolate Ice Cream (Perfect Plenty (300ml)),Eggless Just Chocolate,Ice Cream,PERFECT_PLENTY_300ML,True
Rose Cardamom Ice Cream 200ml,Rose Cardamom Ice Cream,Ice Cream,MINI_TUB_200ML,True
Sunshine Limone Ice Cream (Perfect Plenty),Sunshine Limone Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Pistachio Ice Cream (Perfect Plenty),Pistachio Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Eggless Strawberry Cream Cheese Ice Cream (Family Feast (725ml)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Triple Chocolate Ice Cream (Perfect Plenty),Triple Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Eggless Paan &amp; Gulkand Ice Cream 200ml,Eggless Paan & Gulkand Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Coconut & Pineapple Ice Cream (Mini tub (200ml)),Eggless Coconut & Pineapple Ice Cream,Ice Cream,MINI_TUB_200ML,True
Customised Ice Cream Cake,Customised Ice Cream Cake,Ice Cream,1_PIECE,True
Pistachio Ice Cream (Family Feast (725ml)),Pistachio Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Fig &amp; Orange Ice Cream Small Scoop,Eggless Fig & Orange Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Fig Orange Ice Cream (Regular Scoop),Eggless Fig & Orange Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Coconut & Pineapple Ice Cream (Regular Tub (300ml)),Eggless Coconut & Pineapple Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Sunshine Limone Ice Cream (Perfect Plenty (300ml)),Sunshine Limone Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Eggless Coconut & Pineapple Ice Cream (Family Tub (725ml)),Eggless Coconut & Pineapple Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Banoffee Ice Cream Small Scoop,Eggless Banoffee Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Coconut & Pineapple 200ml,Eggless Coconut & Pineapple Ice Cream,Ice Cream,MINI_TUB_200ML,True
Design Family Pack Of 3 Ice Creams,Design Family Pack Of 3 Ice Creams,Combo,FAMILY_PACK_3X200ML,True
Eggless Coffee Mascarpone Ice Cream (Family Tub (725ml)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Bean-to-Bar Dark Chocolate Ice Cream (Family Tub (725ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Old Fashion Vanilla Ice Cream (Family Tub (725ml)),Old Fashion Vanilla Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Bean-to-Bar Dark Chocolate Ice Cream (Regular Tub (300ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Rose Cardamom Ice Cream (Regular Scoop),Rose Cardamom Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Coconut &amp; Pineapple Small Scoop,Eggless Coconut & Pineapple Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Just Chocolate 200ml,Eggless Just Chocolate,Ice Cream,MINI_TUB_200ML,True
Eggless Design Your Indulgence Duo,Eggless Design Your Indulgence Duo,Combo,DUO_200ML_200ML,True
Cakes &amp; Cookies 200ml,Cakes & Cookies Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Strawberry Cream Cheese Small Scoop,Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Banoffee Ice Cream (Junior Scoop),Eggless Banoffee Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Coffee Mascarpone Small Scoop,Coffee Mascarpone Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Coffee Mascarpone Ice Cream (Family Feast (725ml)),Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Bean-to-bar Chocolate Dark Ice Cream (Regular Tub (300ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Coffee Mascarpone Ice Cream (Mini tub (200ml)),Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Banoffee Ice Cream (Family Feast (725ml)),Eggless Banoffee Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Fig Orange Ice Cream (Family Feast (725ml)),Eggless Fig & Orange Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Boston Cream Piec(2pcs),Boston Cream Pie,Dessert,2_PIECES,True
Eggless Chocolate Ice Cream (Mini tub (200ml)),Eggless Just Chocolate,Ice Cream,MINI_TUB_200ML,True
Triple Chocolate Ice Cream (Scoop),Triple Chocolate Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Old Fashion Vanilla Ice Cream (Scoop),Old Fashion Vanilla Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Chocolate Overload (Family Tub (725ml)),Eggless Chocolate Overload Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Triple Chocolate Ice Cream (Perfect Plenty (300ml)),Triple Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Ice Cream Factory Visit & Trials(family),Ice Cream Factory Visit & Trials,Service,FAMILY,True
500 Pidge/porter Delivery Charges,500 Pidge/Porter Delivery Charges,Extra,1_PIECE,True
Large Box Thermocol And Dry Ice Packaging,Large Box Thermocol And Dry Ice Packaging,Extra,1_PIECE,True
Rose Cardamom Ice Cream (Family Tub (725ml)),Rose Cardamom Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Strawberry Cream Cheese Ice Cream (Mini Indulgence (200ml)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Paan & Gulkand Ice Cream (Mini Indulgence (200ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,MINI_TUB_200ML,True
Alphonso Mango Ice Cream (Regular),Alphonso Mango Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Pistachio Ice Cream (Perfect Plenty (300ml)),Pistachio Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Rose Cardamom Ice Cream (Perfect Plenty (300ml)),Rose Cardamom Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Cakes & Cookies Ice Cream (Family Feast (725ml)),Cakes & Cookies Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Ice Cream Cake 400gm,Ice Cream Cake,Ice Cream,400GMS,True
400 Pidge/porter Delivery Charges,400 Pidge/Porter Delivery Charges,Extra,1_PIECE,True
Water Bottle,Water Bottle,Drinks,1_PIECE,True
Fig Orange Ice Cream (Family Tub (725ml)),Eggless Fig & Orange Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Sunshine Limone Ice Cream Small Scoop,Sunshine Limone Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Monkey Business Ice Cream Small Scoop,Monkey Business Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Old Fashion Vanilla Small Scoop,Old Fashion Vanilla Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Strawberry Cream Cheese Ice Cream (Junior Scoop),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Old Fashion Vanilla Ice Cream (Regular),Old Fashion Vanilla Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Bean-to-bar Chocolate Dark Ice Cream (Family Tub (725ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Fig & Orange 200ml,Eggless Fig & Orange Ice Cream,Ice Cream,MINI_TUB_200ML,True
Dates & Chocolate Eggless (Junior Scoop),Dates & Chocolate Eggless,Ice Cream,JUNIOR_SCOOP_60GMS,True
Fig Orange Ice Cream (Regular),Eggless Fig & Orange Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Pistachio Ice Cream (Regular),Pistachio Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Paan & Gulkand Ice Cream (Regular Scoop),Eggless Paan & Gulkand Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Old Fashion Vanila Ice Cream (Perfect Plenty (300ml)),Eggless Old Fashion Vanilla Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Eggless Fig Orange Ice Cream (Regular Tub (300ml)),Eggless Fig & Orange Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Dates & Chocolate Eggless (Regular Tub (300ml)),Dates & Chocolate Eggless,Ice Cream,REGULAR_TUB_300ML,True
Eggless Fig &amp; Orange 200ml,Eggless Fig & Orange Ice Cream,Ice Cream,MINI_TUB_200ML,True
Coffee Mascarpone Ice Cream (Junior Scoop),Coffee Mascarpone Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Fig Orange Ice Cream (Mini tub (200ml)),Eggless Fig & Orange Ice Cream,Ice Cream,MINI_TUB_200ML,True
