raw_name,cleaned_name,type,variant,is_verified
Eggless Fig Orange Ice Cream (Regular Scoop),Eggless Fig & Orange Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Orange & Biscuits (with Alcohol) (Regular Scoop),Orange & Biscuits (Contains Alcohol) Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Dates &amp; Chocolate Eggless (Regular Tub (300ml)),Dates & Chocolate Eggless,Ice Cream,REGULAR_TUB_300ML,True
Paan &amp; Gulkand Ice Cream (Perfect Plenty (200gms)),Eggless Paan & Gulkand Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Dates & Chocolate Eggless (Family Tub (725ml)),Dates & Chocolate Eggless,Ice Cream,FAMILY_TUB_725ML,True
Cakes &amp; Cookies Ice Cream 200ml,Cakes & Cookies Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Coconut &amp; Pineapple 200ml,Eggless Coconut & Pineapple Ice Cream,Ice Cream,MINI_TUB_200ML,True
Monkey Business Ice Cream (Family Feast),Monkey Business Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Coffee Mascarpone Ice Cream (Junior Scoop),Eggless Coffee Mascarpone Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Fig Orange Ice Cream (Junior Scoop),Eggless Fig & Orange Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Coffee Mascarpone Ice Cream (Perfect Plenty (300ml)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Sunshine Limone Ice Cream (Junior Scoop),Sunshine Limone Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Strawberry Cream Cheese Ice Cream (Regular Scoop),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Fig & Orange Ice Cream 200ml,Eggless Fig & Orange Ice Cream,Ice Cream,MINI_TUB_200ML,True
Alphonso Mango Ice Cream (Perfect Plenty (200gms)),Alphonso Mango Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Bean-to-Bar 70% Dark Chocolate Ice Cream (Perfect Plenty (200gms)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Special Packaging Dryice Charges,Special Packaging Dryice Charges,Extra,1_PIECE,True
Cakes & Cookies Ice Cream (Junior Scoop),Cakes & Cookies Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Coffee Mascarpone Ice Cream (navratri) (Family Tub (725ml)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Strawberry Cream Cheese Ice Cream (navratri) (Regular Tub (300ml)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Pistachio Ice Cream (Perfect Plenty (200gms)),Pistachio Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Go Bananas Ice Cream (Family Feast (550gms)),Go Bananas Ice Cream,Ice Cream,FAMILY_TUB_550GMS,True
Sunshine Limone Ice Cream (Family Feast (550gms)),Sunshine Limone Ice Cream,Ice Cream,FAMILY_TUB_550GMS,True
Fig Orange Ice Cream (Family Feast (550gms)),Eggless Fig & Orange Ice Cream,Ice Cream,FAMILY_TUB_550GMS,True
Eggless Coffee Mascarpone Ice Cream (Perfect Plenty (200gms)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Eggless Alphanso Mango Ice Cream (Perfect Plenty (200gms)),Eggless Alphonso Mango Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Eggless Paan &amp; Gulkand Ice Cream (Perfect Plenty (200gms)),Eggless Paan & Gulkand Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Eggless Strawberry Cream Cheese Ice Cream (Perfect Plenty (200gms)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Monkey Business Ice Cream (Family Feast (550gms)),Monkey Business Ice Cream,Ice Cream,FAMILY_TUB_550GMS,True
Masala Chai Ice Cream (Perfect Plenty (300ml)),Masala Chai Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Eggless Paan & Gulkand Ice Cream (navratri) (Regular Tub (300ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Bean-to-bar Chocolate 70% Dark Ice Cream (Regular Scoop),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Coffee Mascarpone Ice Cream (navratri) (Regular Tub (300ml)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Dates & Chocolate Eggless (Regular Scoop),Dates & Chocolate Eggless,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Coconut & Pineapple Ice Cream (navratri) (Regular Tub (300ml)),Eggless Coconut & Pineapple Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Eggless Coconut &amp; Pineapple Ice Cream (Navratri) (Mini Tub (200ml)),Eggless Coconut & Pineapple Ice Cream,Ice Cream,MINI_TUB_200ML,True
Dates With Fig &amp; Orange Eggless (Regular Tub (300ml)),Dates With Fig & Orange Eggless,Ice Cream,REGULAR_TUB_300ML,True
Bean-to-bar Chocolate 70% Dark Ice Cream (Mini tub (200ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Paan & Gulkand Ice Cream (navratri) (Family Tub (725ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Fig & Orange Ice Cream (navratri) (Regular Tub (300ml)),Eggless Fig & Orange Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Eggless Coffee Mascarpone Ice Cream (Perfect Plenty),Eggless Coffee Mascarpone Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Eggless Strawberry Cream Cheese Ice Cream (navratri) (Family Tub (725ml)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Special Packaging Thermocol Charges,Special Packaging Thermocol Charges,Extra,1_PIECE,True
Dates With Fig & Orange Eggless (Regular Tub (300ml)),Dates With Fig & Orange Eggless,Ice Cream,REGULAR_TUB_300ML,True
Ice Cream Cake 1kg,Ice Cream Cake,Ice Cream,1KG,True
Dates With Fig & Orange Eggless (Regular Scoop),Dates With Fig & Orange Eggless,Ice Cream,REGULAR_SCOOP_120GMS,True
Cakes &amp; Cookies Ice Cream (Regular Tub (300ml)),Cakes & Cookies Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Eggless Cherry &amp; Chocolate Ice Cream (Regular Tub (300ml)),Eggless Cherry & Chocolate Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Dates & Chocolate 200ml,Dates & Chocolate Eggless,Ice Cream,MINI_TUB_200ML,True
New York Baked Cheesecake Eggless,New York Baked Cheesecake Eggless,Dessert,1_PIECE,True
Dates With Fig & Orange Eggless (Family Tub (725ml)),Dates With Fig & Orange Eggless,Ice Cream,FAMILY_TUB_725ML,True
Paan & Gulkand Ice Cream (Mini tub (200ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,MINI_TUB_200ML,True
Cream Cheese Fruit Medley Cake,Cream Cheese Fruit Medley Cake,Dessert,1_PIECE,True
Eggless Fig & Orange Ice Cream (Regular Tub (300ml)),Eggless Fig & Orange Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Sunshine Limone Ice Cream (Family Feast (725ml)),Sunshine Limone Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Masala Chai Ice Cream (Mini tub (200ml)),Masala Chai Ice Cream,Ice Cream,MINI_TUB_200ML,True
Dates With Fig & Orange 200ml,Dates With Fig & Orange Eggless,Ice Cream,MINI_TUB_200ML,True
Eggless Paan & Gulkand Ice Cream (Junior Scoop),Eggless Paan & Gulkand Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Dates With Fig & Orange 200ml (eggless),Dates With Fig & Orange Eggless,Ice Cream,MINI_TUB_200ML,True
Fig Orange Ice Cream (Perfect Plenty (200gms)),Eggless Fig & Orange Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Triple Chocolate Ice Cream (Perfect Plenty (200gms)),Triple Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Assorted Cookie Duo ( Dark Chocolate (1pc) + Choco Chip (1pc) ),Assorted Cookie Duo ( Dark Chocolate + Choco Chip ),Dessert,1_PIECE,True
Cakes & Cookies Ice Cream (Family Tub (725ml)),Cakes & Cookies Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
School Kids Factor Visit,School Kids Factory Visit,Service,1_PIECE,True
Choco Chunk Cookie (2pcs),Choco Chunk Cookie,Dessert,2_PIECES,True
Coffee Mascarpone Ice Cream (Perfect Plenty),Coffee Mascarpone Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Triple Chocolate Ice Cream (Regular Scoop),Triple Chocolate Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Dark Double Chocolate Cookie(2pcs),Dark Double Chocolate Cookie,Dessert,2_PIECES,True
Eggless Fig &amp; Orange Ice Cream Small Scoop,Eggless Fig & Orange Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Choco Chunk Cookie(1pcs),Choco Chunk Cookie,Dessert,1_PIECE,True
Bean-to-bar Chocolate 70% Dark Ice Cream (Perfect Plenty (300ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Paan & Gulkand Ice Cream (Perfect Plenty (300ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Custom Diwali Cookie Set,Custom Diwali Cookie Set,Dessert,1_PIECE,True
Strawberry Cream Cheese Ice Cream (Regular Tub (300ml)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Eggless Coconut &amp; Pineapple Ice Cream (Regular Scoop),Eggless Coconut & Pineapple Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Old Fashion Vanila Ice Cream (Regular Scoop),Eggless Old Fashion Vanilla Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Dates &amp; Chocolate Small Scoop,Dates & Chocolate Eggless,Ice Cream,JUNIOR_SCOOP_60GMS,True
Dates With Fig &amp; Orange Small Scoop,Dates With Fig & Orange Eggless,Ice Cream,JUNIOR_SCOOP_60GMS,True
Old Fashion Vanilla Ice Cream (Junior Scoop),Old Fashion Vanilla Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Eggless Chocolate Ice Cream (Junior Scoop),Eggless Just Chocolate,Ice Cream,JUNIOR_SCOOP_60GMS,True
Dates With Fig & Orange Eggless (Mini tub (200ml)),Dates With Fig & Orange Eggless,Ice Cream,MINI_TUB_200ML,True
Employee Dessert ( Any 1 ),Employee Dessert ( Any 1 ),Dessert,1_PIECE,True
Masala Chai Ice Cream (Regular Scoop),Masala Chai Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Coconut &amp; Pineapple Ice Cream (Regular Tub (300ml)),Eggless Coconut & Pineapple Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Eggless Fig &amp; Orange Ice Cream (Regular Tub (300ml)),Eggless Fig & Orange Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Dates & Chocolate Eggless (Mini tub (200ml)),Dates & Chocolate Eggless,Ice Cream,MINI_TUB_200ML,True
Coffee Mascarpone Ice Cream (Family Tub (700ml)),Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Eggless Paan & Gulkand Ice Cream (Family Tub (700ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Dates & Chocolate Eggless (Family Tub (700ml)),Dates & Chocolate Eggless,Ice Cream,FAMILY_TUB_700ML,True
Eggless Chocolate Overload (Junior Scoop),Eggless Chocolate Overload Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Butter Waffle Cones (1pcs),Butter Waffle Cone,Extra,1_PIECE,True
Old Fashion Vanilla Ice Cream (Family Tub (700ml)),Old Fashion Vanilla Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Eggless Chocolate Ice Cream (Family Tub (700ml)),Eggless Just Chocolate,Ice Cream,FAMILY_TUB_700ML,True
Eggless Banoffee Ice Cream (Family Tub (700ml)),Eggless Banoffee Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Triple Chocolate Ice Cream (Family Feast),Triple Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Old Fashion Vanilla Ice Cream (Perfect Plenty),Old Fashion Vanilla Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Pistachio Ice Cream (Family Tub (700ml)),Pistachio Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Eggless Coconut & Pineapple Ice Cream (Family Tub (700ml)),Eggless Coconut & Pineapple Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Butter Waffle Cones (2pcs),Butter Waffle Cone,Extra,2_PIECES,True
Eggless Coffee Mascarpone Ice Cream (Family Tub (700ml)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Strawberry Cream Cheese Ice Cream (Perfect Plenty),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Eggless Milk Chocolate (Perfect Plenty),Eggless Milk Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Eggless Strawberry Cream Cheese Ice Cream (Family Tub (700ml)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Bean-to-bar Chocolate Dark Ice Cream (Family Tub (700ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Monkey Business Ice Cream (Family Tub (700ml)),Monkey Business Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Brownie Cheesecake,Brownie Cheesecake,Dessert,1_PIECE,True
Cakes & Cookies Ice Cream (Family Tub (700ml)),Cakes & Cookies Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Paan & Gulkand Ice Cream (Regular Tub (300ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Sunshine Limone Ice Cream (Family Tub (700ml)),Sunshine Limone Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Eggless Paan & Gulkand Ice Cream (Perfect Plenty),Eggless Paan & Gulkand Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,True
Bean-to-bar 70% Dark Chocolate Ice Cream (Family Feast (725ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Chocolate Overload (Family Tub (700ml)),Eggless Chocolate Overload Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Pistachio Ice Cream (Junior Scoop),Pistachio Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Dates With Fig & Orange Eggless (Family Tub (700ml)),Dates With Fig & Orange Eggless,Ice Cream,FAMILY_TUB_700ML,True
Fudgy Chocolate Brownie,Fudgy Chocolate Brownie,Dessert,1_PIECE,True
Hot Chocolate Fudge Sauce (250gm),Hot Chocolate Fudge Sauce,Extra,250GMS,True
Bean-to-bar Dark Chocolate Ice Cream (Family Tub (700ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Orange & Chocolate Cheesecake,Orange & Chocolate Cheesecake,Dessert,1_PIECE,True
Triple Chocolate Ice Cream (Perfect Plenty (350ml)),Triple Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_350ML,True
Go Bananas Ice Cream 200ml,Go Bananas Ice Cream,Ice Cream,MINI_TUB_200ML,True
Masala Chai Ice Cream (Family Tub (700ml)),Masala Chai Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Rose Cardamom Ice Cream (Family Tub (700ml)),Rose Cardamom Ice Cream,Ice Cream,FAMILY_TUB_700ML,True
Dates & Chocolate 200ml (eggless),Dates & Chocolate Eggless,Ice Cream,MINI_TUB_200ML,True
Eggles Cherry &amp; Chocolate 200ml,Eggless Cherry & Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Cherry & Chocolate Ice Cream (Perfect Plenty (300ml)),Eggless Cherry & Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Eggless Chocolate Ice Cream (Perfect Plenty (325ml)),Eggless Just Chocolate,Ice Cream,PERFECT_PLENTY_325ML,True
Eggless Chocolate Overload (Regular Tub (220gms)),Eggless Chocolate Overload Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Eggless Banoffee Ice Cream (Regular Tub (220gms)),Eggless Banoffee Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Bean-to-bar Chocolate Dark Ice Cream (Regular Tub (220gms)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Eggless Paan & Gulkand Ice Cream (Regular Tub (220gms)),Eggless Paan & Gulkand Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Eggless Cherry & Chocolate Ice Cream (Regular Tub (220gms)),Eggless Cherry & Chocolate Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Sunshine Limone Ice Cream (Regular Tub (220gms)),Sunshine Limone Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Strawberry Cream Cheese Ice Cream (Regular Tub (220gms)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Pistachio Ice Cream (Regular Tub (220gms)),Pistachio Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Fig & Orange Ice Cream (Regular Tub (220gms)),Eggless Fig & Orange Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Just Chocolate Ice Cream (Mini Tub (160gms)),Eggless Just Chocolate,Ice Cream,MINI_TUB_160GMS,True
Eggless Coffee Mascarpone Ice Cream (Mini Tub (160gms)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Banoffee Ice Cream (Mini Tub (160gms)),Eggless Banoffee Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Cherry & Chocolate Fudge Ice Cream (Regular Scoop (120gm)),Cherry & Chocolate Fudge Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Strawberry Cream Cheese Ice Cream (Mini Tub (160gms)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Eggless Coconut & Pineapple Ice Cream (Regular Tub (220gms)),Eggless Coconut & Pineapple Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Dates & Chocolate (Mini Tub (160gms)),Dates & Chocolate Eggless,Ice Cream,MINI_TUB_160GMS,True
Strawberry Cream Cheese Ice Cream (Regular Scoop (120gm)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Dates & Chocolate (Regular Scoop (120gm)),Dates & Chocolate Eggless,Ice Cream,REGULAR_SCOOP_120GMS,True
Bean-to-bar Dark Chocolate Ice Cream (Mini Tub (160gms)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Paan & Gulkand Ice Cream (Regular Tub (220gms)),Eggless Paan & Gulkand Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Paan & Gulkand Ice Cream (Regular Scoop (120gm)),Eggless Paan & Gulkand Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Coconut & Pineapple Ice Cream (Regular Scoop (120gm)),Eggless Coconut & Pineapple Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Coffee Mascarpone Ice Cream (Regular Scoop (120gm)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Eggless Chocolate Overload (Regular Scoop (120gm)),Eggless Chocolate Overload Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Bean-to-bar Dark Chocolate Ice Cream (Regular Tub (220gms)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Coffee Mascarpone Ice Cream (Regular Tub (220gms)),Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Banoffee Ice Cream (Regular Tub (220gms)),Eggless Banoffee Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Paan & Gulkand Ice Cream (Mini tub (160gms)),Eggless Paan & Gulkand Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Eggless Coffee Mascarpone Ice Cream (Regular Tub (220gms)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Pistachio Ice Cream (Regular Scoop (120gm)),Pistachio Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Old Fashion Vanilla Ice Cream (Junior Scoop (60gm)),Old Fashion Vanilla Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,True
Bean-to-Bar 70% Dark Chocolate Ice Cream (Perfect Plenty (325ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_325ML,True
Triple Chocolate Ice Cream (Perfect Plenty (325ml)),Triple Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_325ML,True
Monkey Business Ice Cream (Regular Tub (220gms)),Monkey Business Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Banoffee Ice Cream (Mini tub (160gms)),Eggless Banoffee Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Coffee Mascarpone Ice Cream (Mini tub (160gms)),Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Just Chocolate Ice Cream (Regular Tub (220gms)),Eggless Just Chocolate,Ice Cream,REGULAR_TUB_220GMS,True
Cherry & Chocolate Fudge Ice Cream (Regular Tub (220gms)),Cherry & Chocolate Fudge Ice Cream,Ice Cream,REGULAR_TUB_220GMS,True
Eggless Coconut & Pineapple Ice Cream (Mini Tub (160gms)),Eggless Coconut & Pineapple Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Old Fashion Vanilla Ice Cream (Mini Tub (160gms)),Old Fashion Vanilla Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Pistachio Ice Cream (160gm),Pistachio Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Eggless Coffee Mascarpone Ice Cream (160gm),Eggless Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Bean-to-bar 70% Dark Chocolate Ice Cream (160gm),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Monkey Business Ice Cream (Mini Tub (160gms)),Monkey Business Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Coffee Mascarpone Ice Cream (Mini Tub (160gms)),Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Old Fashion Vanilla Ice Cream (Regular Scoop (120gm)),Old Fashion Vanilla Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Fig & Orange Ice Cream (Regular Scoop (120gm)),Eggless Fig & Orange Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Cherry & Chocolate Fudge Ice Cream (Mini tub (160gms)),Cherry & Chocolate Fudge Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Cakes & Cookies Ice Cream (Mini Tub (160gms)),Cakes & Cookies Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Eggless Chocolate Overload (Mini Tub (160gms)),Eggless Chocolate Overload Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Monkey Business Ice Cream (Regular Scoop (120gm)),Monkey Business Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Fig & Orange Ice Cream (Mini tub (160gms)),Eggless Fig & Orange Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Dates & Chocolate (160gm),Dates & Chocolate Eggless,Ice Cream,MINI_TUB_160GMS,True
Fig & Orange (160gm),Eggless Fig & Orange Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Coconut & Pineapple (160gm),Eggless Coconut & Pineapple Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Banoffee Ice Cream (Regular Scoop (120gm)),Eggless Banoffee Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Sunshine Limone Ice Cream (Regular Scoop (120gm)),Sunshine Limone Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Coffee Mascarpone Ice Cream (Regular Scoop (120gm)),Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Strawberry Cream Cheese Ice Cream (Mini tub (160gms)),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Eggless Chocolate Overload (Mini tub (160gms)),Eggless Chocolate Overload Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Banoffee Ice Cream (160gm),Eggless Banoffee Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Paan & Gulkand Ice Cream (160gm),Eggless Paan & Gulkand Ice Cream,Ice Cream,MINI_TUB_160GMS,True
Sunshine Limone Ice Cream (Mini tub (160gms)),Sunshine Limone Ice Cream,Ice Cream,MINI_TUB_160GMS,True
