parent_cluster_name,parent_cluster_type,child_cluster_name,menu_item_id,variant_id,mapping_count,verified_mapping_count,source_item_count,source_item_ids,source_item_kinds,item_row_count,addon_row_count,raw_name_count,raw_names,historical_merged_source_count,historical_merged_source_names
3 Flavors In One Tub Combo,Combo,1_PIECE,fc297634-f3c1-5338-be48-6f97c5a7eda8,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1297923934,item,2,0,1,3 Flavors In One Tub Combo,0,
400 Pidge/Porter Delivery Charges,Extra,1_PIECE,44e6d9e4-0f2c-5d7d-836e-f56cd159da98,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1284364696,item,2,0,1,400 Pidge/porter Delivery Charges,0,
500 Pidge/Porter Delivery Charges,Extra,1_PIECE,3c445385-49aa-5403-b9ca-61098199438d,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1284364697,item,2,0,1,500 Pidge/porter Delivery Charges,0,
Affogato,Dessert,1_PIECE,6da65f92-f7f1-54ba-ac3d-9055901159e6,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1288318311,item,49,0,1,Affogato,0,
Alphonso Mango Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,332c5870-4847-510b-b78f-9e880ddca033,0a41ed3b-37e4-540b-bc5c-407631835802,1,1,1,2033,item,1,0,1,Alphonso Mango Ice Cream (Perfect Plenty (200gms)),1,Alphonso Mango Ice Cream
Alphonso Mango Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,332c5870-4847-510b-b78f-9e880ddca033,b747b32a-ee01-59b9-b443-75581bb57863,1,1,1,1282581589,item,1,0,1,Alphonso Mango Ice Cream (Regular),1,Alphonso Mango Ice Cream
Americano,Drinks,1_PIECE,f26d1392-a216-540e-8a84-3615e579ed86,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1296937113,item,23,0,1,Americano,0,
Assorted Cookie Duo ( Dark Chocolate + Choco Chip ),Dessert,1_PIECE,d225afda-6dee-5301-9188-f297124e6dd4,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1291692108,item,4,0,1,Assorted Cookie Duo ( Dark Chocolate (1pc) + Choco Chip (1pc) ),0,
Banoffee Ice Cream,Ice Cream,1_PIECE,4ea8d0a8-f4a7-5ba2-8d04-dae39188c24a,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,2,2,2,2dada6d8-2592-57a0-8543-564b6bbe294e | 7449dbb6-75ef-5e31-a0ab-a84c75401451,unknown,0,0,0,,4,Banoffee (60gm) | Banoffee Ice Cream | Banoffee Sample | Eggless Banoffee Ice Cream
Banoffee Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,4ea8d0a8-f4a7-5ba2-8d04-dae39188c24a,e4d57a7d-d262-5fd8-98cb-62ae69804b8d,3,3,3,1285047341 | 54290380 | f7fb56db-3163-5a15-9911-53d5732f081a,addon | item | unknown,12,35,4,Banoffee (60gm) | Banoffee Ice Cream (Junior Scoop (60gm)) | Eggless Banoffee Ice Cream (Junior Scoop) | Eggless Banoffee Ice Cream Small Scoop,4,Banoffee (60gm) | Banoffee Ice Cream | Banoffee Sample | Eggless Banoffee Ice Cream
Banoffee Ice Cream,Ice Cream,MINI_TUB_160GMS,4ea8d0a8-f4a7-5ba2-8d04-dae39188c24a,a1df2a57-b94a-56db-b890-3cba1e7aa15c,1,1,1,a8ae68f7-1613-5128-b1c9-f7b5316e0301,unknown,0,0,0,,4,Banoffee (60gm) | Banoffee Ice Cream | Banoffee Sample | Eggless Banoffee Ice Cream
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML,1dc994ab-1d71-5a0e-88e3-2156390b68cd,b43993c2-8f3b-541e-af64-c9599eba6e7d,1,1,1,1282581600,item,46,0,9,Bean-to-Bar 70% Dark Chocolate Ice Cream (Family Feast (725ml)) | Bean-to-Bar Dark Chocolate Ice Cream (Family Tub (725ml)) | Bean-to-bar 70% Dark Chocolate Ice Cream (Family Feast (725ml)) | Bean-to-bar Chocolate Dark Ice Cream (Family Tub (500gms)) | Bean-to-bar Chocolate Dark Ice Cream (Family Tub (700ml)) | Bean-to-bar Chocolate Dark Ice Cream (Family Tub (725ml)) | Bean-to-bar Dark Chocolate Ice Cream (Family Tub (500gms)) | Bean-to-bar Dark Chocolate Ice Cream (Family Tub (700ml)) | Bean-to-bar Dark Chocolate Ice Cream (Family Tub (725ml)),2,Bean-to-Bar 70% Dark Chocolate Ice Cream | Bean-to-Bar Dark Chocolate (60gm)
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,1dc994ab-1d71-5a0e-88e3-2156390b68cd,e4d57a7d-d262-5fd8-98cb-62ae69804b8d,4,4,4,1285047939 | 54290383 | 9573530c-eca5-5587-9419-99c507ca4e6c | e4cff3cf-a673-5e7b-b738-ceff5b991c12,addon | item | unknown,6,11,2,Bean To Bar Dark Chocolate Ice Cream Small Scoop | Bean-to-bar Chocolate Dark Ice Cream (Junior Scoop (60gm)),2,Bean-to-Bar 70% Dark Chocolate Ice Cream | Bean-to-Bar Dark Chocolate (60gm)
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,MINI_TUB_160GMS,1dc994ab-1d71-5a0e-88e3-2156390b68cd,a1df2a57-b94a-56db-b890-3cba1e7aa15c,1,1,1,ec266dc7-6bf0-5eaa-b2ee-ee36f7ce272f,unknown,0,0,0,,2,Bean-to-Bar 70% Dark Chocolate Ice Cream | Bean-to-Bar Dark Chocolate (60gm)
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML,1dc994ab-1d71-5a0e-88e3-2156390b68cd,74f43046-a2ff-5e69-9b78-1724b6f0a030,9,9,9,1284985218 | 51217617 | 51217635 | 51217674 | 51492582 | 51975424 | 51975446 | 51975447 | 52700809,addon | item,163,121,5,Bean-to-bar 70% Dark Chocolate Ice Cream 200ml | Bean-to-bar Chocolate 70% Dark Ice Cream (Mini tub (200ml)) | Bean-to-bar Chocolate Dark Ice Cream (Mini tub (160gms)) | Bean-to-bar Chocolate Dark Ice Cream (Mini tub (200ml)) | Bean-to-bar Dark Chocolate Ice Cream (Mini Tub (160gms)),2,Bean-to-Bar 70% Dark Chocolate Ice Cream | Bean-to-Bar Dark Chocolate (60gm)
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,1dc994ab-1d71-5a0e-88e3-2156390b68cd,c6438ece-1c0e-5db1-860f-27f45090a616,1,1,1,1282581599,item,281,0,12,Bean-to-Bar 70% Dark Chocolate Ice Cream (Perfect Plenty (200gms)) | Bean-to-Bar 70% Dark Chocolate Ice Cream (Perfect Plenty (300ml)) | Bean-to-Bar 70% Dark Chocolate Ice Cream (Perfect Plenty (325ml)) | Bean-to-Bar Dark Chocolate Ice Cream (Regular Tub (220gms)) | Bean-to-Bar Dark Chocolate Ice Cream (Regular Tub (300ml)) | Bean-to-bar 70% Dark Chocolate Ice Cream (Perfect Plenty (300ml)) | Bean-to-bar Chocolate 70% Dark Ice Cream (Perfect Plenty (300ml)) | Bean-to-bar Chocolate 70% Dark Ice Cream (Perfect Plenty) | Bean-to-bar Chocolate Dark Ice Cream (Regular Tub (220gms)) | Bean-to-bar Chocolate Dark Ice Cream (Regular Tub (300ml)) | Bean-to-bar Dark Chocolate Ice Cream (Regular Tub (220gms)) | Bean-to-bar Dark Chocolate Ice Cream (Regular Tub (300ml)),2,Bean-to-Bar 70% Dark Chocolate Ice Cream | Bean-to-Bar Dark Chocolate (60gm)
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,1dc994ab-1d71-5a0e-88e3-2156390b68cd,b747b32a-ee01-59b9-b443-75581bb57863,1,1,1,1284985219,item,97,0,3,Bean-to-bar Chocolate 70% Dark Ice Cream (Regular Scoop) | Bean-to-bar Chocolate Dark Ice Cream (Regular Scoop (120gm)) | Bean-to-bar Chocolate Dark Ice Cream (Regular Scoop),2,Bean-to-Bar 70% Dark Chocolate Ice Cream | Bean-to-Bar Dark Chocolate (60gm)
Boston Cream Pie,Dessert,1_PIECE,25fff5d0-1eed-5d67-beed-b1574ab25922,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1285806508,item,33,0,1,Boston Cream Pie(1pcs),0,
Boston Cream Pie,Dessert,2_PIECES,25fff5d0-1eed-5d67-beed-b1574ab25922,5f354550-0f38-58c3-ad16-97672a66817d,1,1,1,1285527847,item,999,0,2,Boston Cream Pie Dessert(2pcs) | Boston Cream Piec(2pcs),0,
Brownie Cheesecake,Dessert,1_PIECE,01998c43-6128-522f-bc5d-0c76a744a546,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1293402169,item,259,0,1,Brownie Cheesecake,0,
Butter Waffle Cones,Extra,1_PIECE,ea85deb5-d9a0-5db9-8ff0-5452fc2e9c2b,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1293080163,item,82,0,1,Butter Waffle Cones (1pcs),2,Butter Waffle Cone | Butter Waffle Cone [2 Pieces]
Butter Waffle Cones,Extra,2_PIECES,ea85deb5-d9a0-5db9-8ff0-5452fc2e9c2b,5f354550-0f38-58c3-ad16-97672a66817d,5,5,5,1293079875 | 59023334 | 59023335 | d212bd81-115b-5b7a-8c95-cdcce01175ab | f6a4c580-c0e1-58d7-9f51-413650c33215,addon | item | unknown,33,16,2,Butter Waffle Cone (2pcs) | Butter Waffle Cones (2pcs),2,Butter Waffle Cone | Butter Waffle Cone [2 Pieces]
Cakes & Cookies,Dessert,MINI_TUB_160GMS,133c4ce6-68b7-564a-b8b4-4b1c34aec328,a1df2a57-b94a-56db-b890-3cba1e7aa15c,1,1,1,621b7988-0a4a-581f-8ab6-50ded78a25ea,unknown,0,0,0,,0,
Cakes & Cookies,Dessert,MINI_TUB_200ML,133c4ce6-68b7-564a-b8b4-4b1c34aec328,74f43046-a2ff-5e69-9b78-1724b6f0a030,4,4,4,54126524 | 54126526 | 54126527 | 54126528,addon,0,12,2,Cakes & Cookies 200ml | Cakes &amp; Cookies 200ml,0,
Cakes & Cookies Ice Cream,Ice Cream,FAMILY_TUB_725ML,2cc74902-f399-55c4-a9e9-af2bb86163d9,b43993c2-8f3b-541e-af64-c9599eba6e7d,1,1,1,1284468074,item,11,0,4,Cakes & Cookies Ice Cream (Family Feast (725ml)) | Cakes & Cookies Ice Cream (Family Tub (500gms)) | Cakes & Cookies Ice Cream (Family Tub (700ml)) | Cakes & Cookies Ice Cream (Family Tub (725ml)),1,Cakes & Cookies (60gm)
Cakes & Cookies Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,2cc74902-f399-55c4-a9e9-af2bb86163d9,e4d57a7d-d262-5fd8-98cb-62ae69804b8d,5,5,5,1285047260 | 54290390 | 54cd3566-30c3-59e4-a2b1-42f203939b3e | dd5c22ae-5d52-54d8-b217-151793655371 | f815fb8f-86fc-50eb-a3ef-2103aea2cc37,addon | item | unknown,1,7,2,Cakes & Cookies Ice Cream (Junior Scoop) | Cakes &amp; Cookies Ice Cream Small Scoop,1,Cakes & Cookies (60gm)
Cakes & Cookies Ice Cream,Ice Cream,MINI_TUB_160GMS,2cc74902-f399-55c4-a9e9-af2bb86163d9,a1df2a57-b94a-56db-b890-3cba1e7aa15c,1,1,1,51affd2f-8c4c-54d8-ba3d-2ab6c9d0caa6,unknown,0,0,0,,1,Cakes & Cookies (60gm)
Cakes & Cookies Ice Cream,Ice Cream,MINI_TUB_200ML,2cc74902-f399-55c4-a9e9-af2bb86163d9,74f43046-a2ff-5e69-9b78-1724b6f0a030,4,4,4,1284985095 | 52320263 | 52320277 | 52320278,addon | item,86,25,6,Cakes & Cookies Ice Cream (Mini Tub (160gms)) | Cakes & Cookies Ice Cream (Mini tub (160gms)) | Cakes & Cookies Ice Cream (Mini tub (200ml)) | Cakes & Cookies Ice Cream 200ml | Cakes &amp; Cookies Ice Cream (Mini Tub (160gms)) | Cakes &amp; Cookies Ice Cream 200ml,1,Cakes & Cookies (60gm)
Cakes & Cookies Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,2cc74902-f399-55c4-a9e9-af2bb86163d9,b747b32a-ee01-59b9-b443-75581bb57863,1,1,1,1284985096,item,86,0,2,Cakes & Cookies Ice Cream (Regular Scoop (120gm)) | Cakes & Cookies Ice Cream (Regular Scoop),1,Cakes & Cookies (60gm)
Cakes & Cookies Ice Cream,Ice Cream,REGULAR_TUB_300ML,2cc74902-f399-55c4-a9e9-af2bb86163d9,95cd7af2-383e-5449-893f-83f53bb658bf,1,1,1,1284468073,item,80,0,4,Cakes & Cookies Ice Cream (Perfect Plenty (300ml)) | Cakes & Cookies Ice Cream (Regular Tub (220gms)) | Cakes & Cookies Ice Cream (Regular Tub (300ml)) | Cakes &amp; Cookies Ice Cream (Regular Tub (300ml)),1,Cakes & Cookies (60gm)
Cappuccino,Drinks,1_PIECE,2fecdeca-c347-5e68-821a-891a1f4337fa,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1296937112,item,37,0,1,Cappuccino,0,
Cherry & Chocolate,Ice Cream,1_PIECE,72b87507-42d3-5388-ab9c-75ec31d90f99,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,04bc13b8-3888-57e7-8d27-bc99328622b9,unknown,0,0,0,,1,Cherry & Chocolate (60gm)
Cherry & Chocolate,Ice Cream,MINI_TUB_160GMS,72b87507-42d3-5388-ab9c-75ec31d90f99,a1df2a57-b94a-56db-b890-3cba1e7aa15c,1,1,1,a564a965-7b21-59a1-9d3c-551b48d60bf1,unknown,0,0,0,,1,Cherry & Chocolate (60gm)
Cherry & Chocolate Fudge Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,f15727e6-9fc7-573c-b6db-0850afbcfbc3,e4d57a7d-d262-5fd8-98cb-62ae69804b8d,1,1,1,1285670450,item,11,0,1,Cherry & Chocolate Fudge Ice Cream (Junior Scoop (60gm)),0,
Choco Chunk Cookie,Dessert,1_PIECE,bfd11597-b2e2-5e1b-87c4-2877b282e28e,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1291691126,item,3,0,1,Choco Chunk Cookie(1pcs),0,
Choco Chunk Cookie,Dessert,2_PIECES,bfd11597-b2e2-5e1b-87c4-2877b282e28e,5f354550-0f38-58c3-ad16-97672a66817d,1,1,1,1291691125,item,5,0,1,Choco Chunk Cookie (2pcs),0,
Chocolate & Orange (Contains Alcohol) Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,45eed9b7-0fd2-5f16-988a-1b859047225f,e4d57a7d-d262-5fd8-98cb-62ae69804b8d,1,1,1,1295143333,item,1,0,1,Chocolate & Orange (contains Alcohol) (Junior Scoop (60gm)),0,
Chocolate & Orange (Contains Alcohol) Ice Cream,Ice Cream,MINI_TUB_160GMS,45eed9b7-0fd2-5f16-988a-1b859047225f,a1df2a57-b94a-56db-b890-3cba1e7aa15c,2,2,2,1295143335 | 3476642d-6518-56be-a5f3-d7d69c073331,item | unknown,30,0,4,Chocolate & Orange (contains Alcohol) (Mini Tub (160gms)) | Chocolate & Orange (contains Alcohol) (Mini tub (160gms)) | Chocolate & Orange (contains Alcohol) Ice Cream (Mini Tub (160gms)) | Chocolate &amp; Orange (Contains Alcohol) Ice Cream (Mini Tub (160gms)),0,
Chocolate & Orange (Contains Alcohol) Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,45eed9b7-0fd2-5f16-988a-1b859047225f,b747b32a-ee01-59b9-b443-75581bb57863,1,1,1,1295143334,item,6,0,2,Chocolate & Orange (contains Alcohol) (Regular Scoop (120gm)) | Chocolate & Orange (contains Alcohol) Ice Cream (Regular Scoop (120gm)),0,
Chocolate & Orange (Contains Alcohol) Ice Cream,Ice Cream,REGULAR_TUB_220GMS,45eed9b7-0fd2-5f16-988a-1b859047225f,e1b8037f-345a-52d6-ae94-cc115490705a,1,1,1,1295143336,item,15,0,2,Chocolate & Orange (contains Alcohol) (Regular Tub (220gms)) | Chocolate & Orange (contains Alcohol) Ice Cream (Regular Tub (220gms)),0,
Chocolate Fudge Sauce (40gms),Ice Cream,1_PIECE,0b1c0cf1-8505-5b6a-8ef8-3f1e90354fe9,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,2,2,2,146d0598-78cc-5498-bcd8-4e5445589773 | 61230383,addon | unknown,0,1,1,Chocolate Fudge Sauce (40gms),0,
Chocolate Overload,Ice Cream,MINI_TUB_160GMS,24e0b4d4-6535-58e6-b9a7-b7ffbb565770,a1df2a57-b94a-56db-b890-3cba1e7aa15c,1,1,1,795f79f4-0add-5fc4-82c2-671ea1e05580,unknown,0,0,0,,0,
Classic Brownie & Ice Cream With Fudge Sauce,Ice Cream,1_PIECE,5a377961-e86b-5b56-b56d-4879b9b584af,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1296733826,item,490,0,6,Brownie & Vanilla Ice Cream With Fudge Sauce. It's A Classic ! | Brownie & Vanilla Ice Cream With Fudge Sauce. It's Classic ! | Brownie &amp; Vanilla Ice Cream With Fudge Sauce. It's A Classic ! | Classic Brownie & Ice Cream With Fudge Sauce | Classic Brownie & Vanilla Ice Cream With Fudge Sauce | Classic Brownie &amp; Vanilla Ice Cream With Fudge Sauce,0,
Classic Chocolate Lamington,Dessert,1_PIECE,5cab9534-dbff-5d1c-8651-f3aec8a41284,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1285806723,item,31,0,1,Classic Chocolate Lamington (1pcs),0,
Classic Chocolate Lamington,Dessert,2_PIECES,5cab9534-dbff-5d1c-8651-f3aec8a41284,5f354550-0f38-58c3-ad16-97672a66817d,1,1,1,1285254017,item,803,0,1,Classic Chocolate Lamington (2pcs),0,
Classic Night & Day Duo,Combo,DUO_200ML_200ML,d609df8c-8704-5b71-aa69-ea0e25af9b94,d755256f-e108-56e3-b125-be7736f091af,1,1,1,1284128671,item,2,0,2,Classic Night & Day Duo Ice Creams (200ml+200ml) | Classic Night &amp; Day Duo,0,
Classic Tiramisu,Dessert,1_PIECE,64ac2ffe-d208-510b-88a9-1df149047218,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1283777806,item,2050,0,1,Classic Tiramisu,0,
Coconut & Pineapple,Ice Cream,MINI_TUB_160GMS,9d84af2f-7d38-53d7-9c66-cd95853bdf44,a1df2a57-b94a-56db-b890-3cba1e7aa15c,2,2,2,253b71d0-39a6-53f6-939e-5341ab2744c0 | 54742e2c-57d4-56ed-8608-f2e7d50cd41a,unknown,0,0,0,,0,
Coffee Banana Cheesecake,Dessert,1_PIECE,de044fa7-f3c5-5e80-9ff5-accf9727b3de,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1297192453,item,42,0,1,Coffee Banana Cheesecake,0,
Coffee Mascarpone Ice Cream,Ice Cream,1_PIECE,1b1a56f0-7e0a-5f7c-93b7-9543004db816,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,3,3,3,61458678 | 61458686 | 757b19ec-686b-5d75-aee5-8e69c50a41e7,addon | unknown,0,3,1,Coffee Mascarpone | For The Coffee & Chocolate Purist,4,Coffee Mascarpone | Coffee Mascarpone (60gm) | Coffee Mascarpone | For The Coffee & Chocolate Purist | Eggless Coffee Mascarpone Ice Cream
Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_725ML,1b1a56f0-7e0a-5f7c-93b7-9543004db816,b43993c2-8f3b-541e-af64-c9599eba6e7d,1,1,1,1282581615,item,39,0,4,Coffee Mascarpone Ice Cream (Family Feast (725ml)) | Coffee Mascarpone Ice Cream (Family Tub (500gms)) | Coffee Mascarpone Ice Cream (Family Tub (700ml)) | Coffee Mascarpone Ice Cream (Family Tub (725ml)),4,Coffee Mascarpone | Coffee Mascarpone (60gm) | Coffee Mascarpone | For The Coffee & Chocolate Purist | Eggless Coffee Mascarpone Ice Cream
Coffee Mascarpone Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,1b1a56f0-7e0a-5f7c-93b7-9543004db816,e4d57a7d-d262-5fd8-98cb-62ae69804b8d,4,4,4,03993ebd-77e2-5d35-80f4-26bf37737865 | 1285048012 | 2a373e6d-15af-593c-b34b-0a999a41b01d | 54290615,addon | item | unknown,11,13,4,Coffee Mascarpone (60gm) | Coffee Mascarpone Ice Cream (Junior Scoop (60gm)) | Coffee Mascarpone Ice Cream (Junior Scoop) | Coffee Mascarpone Small Scoop,4,Coffee Mascarpone | Coffee Mascarpone (60gm) | Coffee Mascarpone | For The Coffee & Chocolate Purist | Eggless Coffee Mascarpone Ice Cream
Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_160GMS,1b1a56f0-7e0a-5f7c-93b7-9543004db816,a1df2a57-b94a-56db-b890-3cba1e7aa15c,1,1,1,75ccbcec-883e-5c81-b1ff-53f6854a9efc,unknown,0,0,0,,4,Coffee Mascarpone | Coffee Mascarpone (60gm) | Coffee Mascarpone | For The Coffee & Chocolate Purist | Eggless Coffee Mascarpone Ice Cream
Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_200ML,1b1a56f0-7e0a-5f7c-93b7-9543004db816,74f43046-a2ff-5e69-9b78-1724b6f0a030,11,11,11,1284985281 | 51215000 | 51217611 | 51217623 | 51492576 | 51975429 | 51975460 | 51975461 | 51975462 | 52320274 | 52700803,addon | item,186,124,4,Coffee Mascarpone Ice Cream (Mini Tub (160gms)) | Coffee Mascarpone Ice Cream (Mini tub (160gms)) | Coffee Mascarpone Ice Cream (Mini tub (200ml)) | Coffee Mascarpone Ice Cream 200ml,4,Coffee Mascarpone | Coffee Mascarpone (60gm) | Coffee Mascarpone | For The Coffee & Chocolate Purist | Eggless Coffee Mascarpone Ice Cream
Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,1b1a56f0-7e0a-5f7c-93b7-9543004db816,b747b32a-ee01-59b9-b443-75581bb57863,1,1,1,1284985282,item,210,0,2,Coffee Mascarpone Ice Cream (Regular Scoop (120gm)) | Coffee Mascarpone Ice Cream (Regular Scoop),4,Coffee Mascarpone | Coffee Mascarpone (60gm) | Coffee Mascarpone | For The Coffee & Chocolate Purist | Eggless Coffee Mascarpone Ice Cream
Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_TUB_300ML,1b1a56f0-7e0a-5f7c-93b7-9543004db816,95cd7af2-383e-5449-893f-83f53bb658bf,1,1,1,1282581614,item,196,0,4,Coffee Mascarpone Ice Cream (Perfect Plenty (300ml)) | Coffee Mascarpone Ice Cream (Perfect Plenty) | Coffee Mascarpone Ice Cream (Regular Tub (220gms)) | Coffee Mascarpone Ice Cream (Regular Tub (300ml)),4,Coffee Mascarpone | Coffee Mascarpone (60gm) | Coffee Mascarpone | For The Coffee & Chocolate Purist | Eggless Coffee Mascarpone Ice Cream
Cream Cheese Fruit Medley Cake,Dessert,1_PIECE,c674e969-50c1-534c-ad57-84a5b83cc6bf,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1283487201,item,1,0,1,Cream Cheese Fruit Medley Cake,0,
Cup,Extra,1_PIECE,be5401e4-e641-5142-b743-26d27541553c,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,3,3,3,53392899 | 53392904 | de96c525-38d4-5c89-8b33-5ce6e90ba934,addon | unknown,0,923,1,Cup,0,
Curious Creations Duo,Combo,DUO_200ML_200ML,bd0be7e2-46da-5ed3-a2f4-39be12038220,d755256f-e108-56e3-b125-be7736f091af,1,1,1,1284128670,item,2,0,2,Curious Creations Duo | Curious Creations Duo Ice Creams (200ml+200ml),0,
Custom Cake 800gm,Ice Cream,1_PIECE,17fcf174-95f4-5390-b1fe-969195a9eb65,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1302070806,item,1,0,1,Custom Cake 800gm,0,
Custom Diwali Cookie Set,Dessert,1_PIECE,a7b02a14-f022-5526-aedd-68d50742be75,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1292347283,item,4,0,1,Custom Diwali Cookie Set,0,
Customised Ice Cream Cake,Ice Cream,1_PIECE,1612bf8f-e38f-5692-8b97-2e52e567369e,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1288592565,item,1,0,1,Customised Ice Cream Cake,0,
Dark Double Chocolate Cookie,Dessert,2_PIECES,b957edcc-f00f-517f-94d4-b20d96109456,5f354550-0f38-58c3-ad16-97672a66817d,1,1,1,1291691127,item,5,0,1,Dark Double Chocolate Cookie(2pcs),0,
Dates & Chocolate,Ice Cream,MINI_TUB_160GMS,4eb61886-91d1-5648-96e8-a6f662ff1683,a1df2a57-b94a-56db-b890-3cba1e7aa15c,1,1,1,4eb4dd73-a69d-5a12-a46a-71fb57734158,unknown,0,0,0,,0,
